"Timestamp","1) How old are you?","2) What is your gender?","3) Where are you from?","1) How many times per week do you cook? Include breakfast, lunch, and dinner separately in your count.","2) How many people do you usually cook for?","3) How often do you heat food (with a stove, microwave, boiler, oven, kettle, etc) when cooking? ","4) How often do you attempt new things while cooking?","5) Would you be willing to try new things when cooking?","6) Do you enjoy raw food meals?

The raw food diet consists of food that has not been processed or cooked but is still safe for humans to eat. Examples range from vegetable-only salads to smoked meats and many dishes in between. You can find more information and examples on Wikipedia. ","Why / why not?","7) How often do you throw away food items because they have perished? ","8) Do you know what you have in your fridge right now? ","9) Do you consult recipes on your phone while cooking?","If you consult recipes elsewhere, why don't you use your phone? (Select one or more; feel free to add your own answer)","10) How often do you perform small actions (avoid food waste, support local food production, avoid palm oil ...) to help the planet/environment?","11) What color makes you think about food/eating?","12) If you need to cook with others, which type of person do you prefer?","13) Finally, whenever you cook, how do usually feel? Why?"
"2023/10/30 4:53:15 PM GMT+1","26-30 years old","Male","Europe","7-10 times","3-4 people","Always","Usually","Yes","Yes","I like vegetables and that healthier ","Sometimes","No","Yes","","Usually","Green","Risk Taking","Reposed, because I want to take my time when cooking "
"2023/10/30 5:13:57 PM GMT+1","21-25 years old","Female","North America","7-10 times","2 people","Usually","Usually","Yes","Yes","It is easy to cook","Rarely","Yes","Yes","","Sometimes","Orange;Green;Yellow","Experienced","Happy, it is relaxing whenever I listen to music"
"2023/10/30 5:26:48 PM GMT+1","15-20 years old","Male","North America","More than 10 times","2 people","Sometimes","Usually","Yes","Yes","sushi :)","Rarely","Yes","I don't use recipes at all","","Never","Red","Supportive","happy because I play music"
"2023/10/30 5:30:30 PM GMT+1","21-25 years old","Male","North America","1-3 times","1 (myself)","Always","Usually","Yes","No","I don’t like this type of food","Rarely","Yes","I don't use recipes at all","Distractions: The notifications from your phone are distracting.;","Sometimes","Orange;Green","Supportive","Happy and hungry"
"2023/10/30 5:46:20 PM GMT+1","21-25 years old","Female","Asia","More than 10 times","1 (myself)","Usually","Sometimes","Yes","Yes","Because raw food can keep the original taste of food, and lettuce, for example, can also provide a refreshing taste.","Usually","Yes","Yes","","Usually","Red","Supportive","I feel very relaxed, because cooking is a way to relax and the food is seasoned according to my own taste."
"2023/10/30 5:55:33 PM GMT+1","21-25 years old","Female","Europe","More than 10 times","1 (myself)","Always","Usually","Yes","Yes","I appreciate very much raw meet which is a speciality in my region and in generale I eat a lot of raw vegetables.","Never","Yes","Yes","","Usually","Orange;Green;Red;Brown","Social / Fun","I feel good because cooking is a very important part of my culture (italian) and identity and I feel like doing some thing that belongs to me. "
"2023/10/30 6:10:27 PM GMT+1","21-25 years old","Female","North America","More than 10 times","1 (myself)","Always","Sometimes","Yes","No","Raw meat for me is disgusting and after eating them i feel Sick. ","Rarely","Yes","I don't use recipes at all","Preference for Printed Recipes: You simply like physical books","Usually","Orange","Social / Fun","Happy and relaxed. For me Banking and cooking is Therapy "
"2023/10/30 6:15:31 PM GMT+1","21-25 years old","Female","Asia","4-6 times","2 people","Always","Usually","Yes","No","I can't eat it","Sometimes","Yes","Yes","","Sometimes","Orange;Yellow;Red","Supportive","happy but tired"
"2023/10/30 6:16:01 PM GMT+1","21-25 years old","Male","Asia","4-6 times","1 (myself)","Usually","Sometimes","Yes","Yes","Because I like sashimi very much.","Sometimes","Yes","Yes","","Sometimes","Yellow","Supportive","Satisfied，because in switzerland the food is so awful， so when I cook something more delicious than that in the restaurant I feel very satisfied about what I have cooked."
"2023/10/30 6:19:56 PM GMT+1","21-25 years old","Female","North America","7-10 times","1 (myself)","Usually","Sometimes","Yes","No","I like more flavor in my food","Rarely","Yes","Yes","Screen Size and Visibility: The screen is small and hard to see.","Rarely","Green","Social / Fun","Excited, joyful, I love it"
